Handle,Followers,Catégorie,Likes,Comments,Engagement Moyen,Type de contenu,Marques
taeoxo_nct,10800000,Macro,6928000,160500,13.13,"streetwear, lifestyle, photos drôles",Loewe (ambassadeur global)
miniseungkim,10200000,Macro,6223000,106900,12.41,"selfies, tenues quotidiennes, concerts","Burberry (ambassadeur), Loewe (ambassadeur Corée), Stussy, Nike, Ugg"
aerichandesu,10300000,Macro,5120000,25400,9.99,"mode, lifestyle","Loewe (ambassadrice), Ugg"
mv.tiangue,730500,Micro,22400,0,0.61,"mode, styliste niche","Loewe, Moynat, Chanel, Coperni, Jimmy Choo, Nike"
ayumihills,1100000,Macro,51000,0,0.9299999999999999,"maquillage, GRWM, TikTok","Fendi, Loewe, Dior, Tom Ford"
sydney_sweeney,25200000,Macro,2794000,18600,2.23,"cinéma, lifestyle, tapis rouge","Miu Miu, YSL, Dior"
kyliejenner,392000000,Macro,15800000,46000,0.8099999999999999,"lifestyle, mode, beauté","Khy, Miu Miu, Alo Yoga, Prada Group"
loudoillon,472000,Micro,28500,386,1.53,"musique, lifestyle, mode","Gucci, Ami, Aigle, PradaGroup"
cocogauff,2200000,Macro,0,0,0.0,"sport, tennis, magazines","New Balance, Bose, Miu Miu"
roses_are_rosie,84500000,Macro,15600000,95000,3.71,"musique, lifestyle, mode","YSL (ambassadrice globale), Puma, Skims, Dior"
dualipa,88000000,Macro,7000000,29000,1.6,"concerts, voyages, lifestyle",YSL Beauté (ambassadrice)
zoeisabellakravitz,7500000,Macro,424000,1690,1.14,"mode, tapis rouge, magazines",YSL Beauty (ambassadrice)
mayadorable,1000000,Micro,135000,109,2.7,"lifestyle, vacances, mode simple","Dior, YSL, Chanel, APM, Paco Rabanne"
melton,5000000,Macro,122000,476,0.49,"lifestyle, nourriture, cinéma",Coach (ambassadeur)
bellahadid,61000000,Macro,3326000,8728,1.09,"mode, shootings, publicités","Chopard, Coach"
lola.tung,4700000,Macro,3412000,8300,14.55,"tapis rouge, magazines, décontracté","Crocs, Coach"
louisaxlrzo,167000,Micro,17200,0,2.06,"danse, playback drôle, lifestyle streetwear","Coach, marques accessibles"
byeonwooseok,13100000,Macro,8900000,83000,13.71,"mode, lifestyle, séries coréennes","Prada (ambassadeur), Cartier"
enhypen,20000000,Macro,5436000,42000,5.48,"mode, classe, K-pop","Prada, Ralph Lauren, Tiffany & Co"
lenamahfouf,4900000,Macro,1221000,1245,4.99,"fashion, beauté, voyage, lifestyle","Dior, Prada, YSL, Havaianas, Miu Miu, Louis Vuitton"
tomholland2013,63400000,Macro,17242000,108800,5.47,"cinéma, vie perso, lifestyle","Prada, Nike"
sananas,2700000,Macro,544000,493,4.03,"mode, beauté, vacances","Prada, Céline, YSL, Bottega, Chanel"
carla_ginola,466000,Micro,69000,297,2.97,"mode, luxe, lifestyle","Saint Laurent, Prada, Dior, Miu Miu, Ralph Lauren"
noordegroot,638000,Micro,43000,396,1.36,"mode, lifestyle","Coach, Prada"
paolalct,2000000,Macro,329000,416,3.29,"mode, luxe, lifestyle jeune","Coach, Miu Miu, Prada, Dior, YSL, Jimmy Choo, Loewe"
didistone,2200000,Macro,215000,1480,1.97,"mode, luxe, beauté, front row","Saint Laurent, Hermès, Chanel, Loewe, Prada, L'Oréal"
noholita,1000000,Micro,132600,772,2.67,"mode, lifestyle, luxe accessible","Coach, Miu Miu, Moncler, Chanel, Dior"
sulivangwed,1100000,Macro,139600,0,2.54,"lifestyle, mode colorée, drôle","Dior, Prada, Fendi, Guess, Givenchy, YSL"
